experiment_id,date,model_file,history_file,duration_seconds,actual_epochs,best_valid_acc,final_test_accuracy,test_margin_error,final_train_loss,args
20251211_175352,2025-12-11 17:56:16,outputs\models\gcn_arxiv_20251211_175352.pth,outputs\logs\history_20251211_175352.json,143.94,260,0.7316352897748246,0.7217661461226673,0.00398407745136285,0.7709134817123413,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': False, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_175616,2025-12-11 17:59:01,outputs\models\gcn_arxiv_20251211_175616.pth,outputs\logs\history_20251211_175616.json,165.51,307,0.7270042618879828,0.7146266691356501,0.004014863967044614,0.827326774597168,"{'num_layers': 3, 'hidden_dim': 256, 'use_residual': False, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251211_175901,2025-12-11 18:02:28,outputs\models\gcn_arxiv_20251211_175901.pth,outputs\logs\history_20251211_175901.json,207.04,326,0.7301251719856371,0.7215192477830586,0.0039851629611121755,0.7126116752624512,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': True, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_180228,2025-12-11 18:06:01,outputs\models\gcn_arxiv_20251211_180228.pth,outputs\logs\history_20251211_180228.json,212.46,333,0.7175408570757408,0.712733781865317,0.0040228189138168955,0.7364261150360107,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': True, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251211_180601,2025-12-11 18:11:38,outputs\models\gcn_arxiv_20251211_180601.pth,outputs\logs\history_20251211_180601.json,337.15,513,0.7282123561193329,0.7141328724564328,0.0040169474863266455,0.7972816824913025,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': True, 'norm_type': 'layer', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_181138,2025-12-11 18:14:48,outputs\models\gcn_arxiv_20251211_181138.pth,outputs\logs\history_20251211_181138.json,190.04,289,0.7169703681331588,0.7088039832932124,0.0040390601680712875,0.9096682667732239,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': True, 'norm_type': 'layer', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251211_181448,2025-12-11 18:22:43,outputs\models\gcn_arxiv_20251211_181448.pth,outputs\logs\history_20251211_181448.json,475.24,459,0.7360314104500151,0.722383391971689,0.00398135708757018,0.6275166273117065,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': True, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_182243,2025-12-11 18:25:35,outputs\models\gcn_arxiv_20251211_182243.pth,outputs\logs\history_20251211_182243.json,171.4,161,0.7250578878485855,0.7141945970413349,0.004016687367921131,0.8619606494903564,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': True, 'norm_type': 'graph', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
20251211_182535,2025-12-11 18:28:29,outputs\models\gcn_arxiv_20251211_182535.pth,outputs\logs\history_20251211_182535.json,174.7,284,0.7299238229470788,0.717918646997099,0.004000823005930272,0.6965032815933228,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': False, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0, 'epochs': 1000}"
20251211_182829,2025-12-11 18:30:19,outputs\models\gcn_arxiv_20251211_182829.pth,outputs\logs\history_20251211_182829.json,109.86,176,0.711735293130642,0.7089685821862848,0.00403838728166915,0.7826855778694153,"{'num_layers': 3, 'hidden_dim': 512, 'use_residual': False, 'norm_type': 'batch', 'lr': 0.01, 'dropout': 0.5, 'weight_decay': 0.0005, 'epochs': 1000}"
